id,trail,section,difficulty,type,skill,question,correct,options,learningObjective,verseRef
"genesis-1-11-cam-gen-01-criador-05","genesis-1-11","gen-01-criador","caminhada","complete","understand","Qual palavra completa o sentido do trecho de Gênesis 1:1–2 sobre criação?","criou","a:criou | b:princípio | c:céus","Completar com precisão o texto de Gênesis 1:1–2.","Gênesis 1:1–2"
"genesis-1-11-cam-gen-01-criador-06","genesis-1-11","gen-01-criador","caminhada","connect","understand","O que relaciona o trecho de Gênesis 1:1–2 ao insight da missão?","criação","a:criação | b:princípio | c:criou","Conectar Gênesis 1:1–2 ao restante da leitura.","Gênesis 1:1–2"
"genesis-1-11-pro-gen-01-criador-01","genesis-1-11","gen-01-criador","profundezas","true_false","interpret","Gênesis 1:1–2 sustenta que Deus é o centro, não eu.","true","true:Verdadeiro | false:Falso","Antes de qualquer coisa existir, Deus já era","Gênesis 1:1–2"
"genesis-1-11-pro-gen-01-criador-02","genesis-1-11","gen-01-criador","profundezas","tap","interpret","Em Gênesis 1:1–2, qual trecho sustenta a ideia de criação?","Deus criou os céus e a terra","a:Deus criou os céus e a terra | b:No princípio | c:estava sem forma e vazia","Antes de qualquer coisa existir, Deus já era","Gênesis 1:1–2"
"genesis-1-11-pro-gen-01-criador-03","genesis-1-11","gen-01-criador","profundezas","choice","interpret","Como Gênesis 1:1–2 prepara o leitor para o restante do capítulo?","Apresenta Deus como Senhor do caos que traz ordem pela palavra","a:Apresenta Deus como Senhor do caos que traz ordem pela palavra | b:Mostra que a criação é acidente sem propósito | c:Prova que luz e trevas são iguais perante Deus | d:Elimina qualquer distinção entre criador e criatura","Relacionar o prólogo com a teologia do capítulo 1.","Gênesis 1:1–2"
"genesis-1-11-pro-gen-01-criador-04","genesis-1-11","gen-01-criador","profundezas","order","interpret","Qual sequência revela o sentido de Gênesis 1:1–2?","a → b → c","a:No princípio, Deus criou os céus e a terra | b:A terra, porém, estava sem forma e vazia | c:havia trevas sobre a face do abismo, e","Ordenar o fluxo de Gênesis 1:1–2.","Gênesis 1:1–2"
"genesis-1-11-pro-gen-01-criador-05","genesis-1-11","gen-01-criador","profundezas","complete","interpret","Qual palavra completa Gênesis 1:1–2 (criação) com fidelidade ao tema?","criou","a:criou | b:princípio | c:céus","Completar com precisão o texto de Gênesis 1:1–2.","Gênesis 1:1–2"
"genesis-1-11-pro-gen-01-criador-06","genesis-1-11","gen-01-criador","profundezas","connect","interpret","Qual elo de sentido une o trecho de Gênesis 1:1–2 ao insight?","criação","a:criação | b:princípio | c:criou","Conectar Gênesis 1:1–2 ao restante da leitura.","Gênesis 1:1–2"
"genesis-1-11-sem-gen-02-dias-01","genesis-1-11","gen-02-dias","semente","true_false","observe","O trecho afirma: Disse Deus: Haja luz; e houve luz.","true","true:Verdadeiro | false:Falso","Deus organiza o caos em seis dias: primeiro os ambientes, depois os habitantes","Gênesis 1:3–25"
"genesis-1-11-sem-gen-02-dias-02","genesis-1-11","gen-02-dias","semente","tap","observe","Em Gênesis 1:3–25, toque o trecho que menciona e deus viu que era bom?","Disse Deus: Haja luz; e houve luz.","a:Disse Deus: Haja luz; e houve luz. | b:Deus chamou à luz Dia; e às trevas, Noite. | c:E disse Deus: Produza a terra seres viventes","Deus organiza o caos em seis dias: primeiro os ambientes, depois os habitantes","Gênesis 1:3–25"
"genesis-1-11-sem-gen-02-dias-03","genesis-1-11","gen-02-dias","semente","choice","observe","Qual foi a primeira ordem criadora registrada em Gênesis 1?","Haja luz","a:Haja luz | b:Haja expansão no meio das águas | c:Produza a terra vegetação | d:Façamos o homem","Identificar a primeira palavra criadora do relato.","Gênesis 1:3"
"genesis-1-11-sem-gen-02-dias-04","genesis-1-11","gen-02-dias","semente","order","observe","Qual a ordem dos fatos em Gênesis 1:3–25?","a → b → c","a:Disse Deus: Haja luz | b:e houve luz | c:Deus chamou à luz Dia","Ordenar o fluxo de Gênesis 1:3–25.","Gênesis 1:3–25"
"genesis-1-11-sem-gen-02-dias-05","genesis-1-11","gen-02-dias","semente","complete","observe","Qual palavra o texto usa em Gênesis 1:3–25 ao falar de E Deus viu que era bom?","Deus","a:Deus | b:Haja | c:houve","Completar com precisão o texto de Gênesis 1:3–25.","Gênesis 1:3–25"
"genesis-1-11-sem-gen-02-dias-06","genesis-1-11","gen-02-dias","semente","connect","observe","Qual ideia une o trecho de Gênesis 1:3–25 ao insight da missão?","E Deus viu que era bom","a:E Deus viu que era bom | b:Haja | c:houve","Conectar Gênesis 1:3–25 ao restante da leitura.","Gênesis 1:3–25"
"genesis-1-11-cam-gen-02-dias-01","genesis-1-11","gen-02-dias","caminhada","true_false","understand","Em Gênesis 1:3–25, o relato comunica que Deus organiza o caos em seis dias: primeiro os ambientes, depois os habitantes.","true","true:Verdadeiro | false:Falso","Deus organiza o caos em seis dias: primeiro os ambientes, depois os habitantes","Gênesis 1:3–25"
"genesis-1-11-cam-gen-02-dias-02","genesis-1-11","gen-02-dias","caminhada","tap","understand","Em Gênesis 1:3–25, qual trecho fala da e deus viu que era bom?","Disse Deus: Haja luz; e houve luz.","a:Disse Deus: Haja luz; e houve luz. | b:Deus chamou à luz Dia; e às trevas, Noite. | c:E disse Deus: Produza a terra seres viventes","Deus organiza o caos em seis dias: primeiro os ambientes, depois os habitantes","Gênesis 1:3–25"
"genesis-1-11-cam-gen-02-dias-03","genesis-1-11","gen-02-dias","caminhada","choice","understand","Qual padrão se repete nos dias da criação em Gênesis 1:3–25?","Deus fala, executa, vê que é bom e nomeia/separa","a:Deus fala, executa, vê que é bom e nomeia/separa | b:Deus luta contra forças rivais até vencer por acaso | c:Cada dia corrige erros do dia anterior | d:Criação ocorre sem palavra, apenas por evolução lenta","Compreender a estrutura literária dos dias creativos.","Gênesis 1:3–25"
"genesis-1-11-cam-gen-02-dias-04","genesis-1-11","gen-02-dias","caminhada","order","understand","Como se encadeiam os eventos de Gênesis 1:3–25?","a → b → c","a:Disse Deus: Haja luz | b:e houve luz | c:Deus chamou à luz Dia","Ordenar o fluxo de Gênesis 1:3–25.","Gênesis 1:3–25"
"genesis-1-11-cam-gen-02-dias-05","genesis-1-11","gen-02-dias","caminhada","complete","understand","Qual palavra completa o sentido do trecho de Gênesis 1:3–25 sobre E Deus viu que era bom?","Deus","a:Deus | b:Haja | c:houve","Completar com precisão o texto de Gênesis 1:3–25.","Gênesis 1:3–25"
"genesis-1-11-cam-gen-02-dias-06","genesis-1-11","gen-02-dias","caminhada","connect","understand","O que relaciona o trecho de Gênesis 1:3–25 ao insight da missão?","E Deus viu que era bom","a:E Deus viu que era bom | b:Haja | c:houve","Conectar Gênesis 1:3–25 ao restante da leitura.","Gênesis 1:3–25"
"genesis-1-11-pro-gen-02-dias-01","genesis-1-11","gen-02-dias","profundezas","true_false","interpret","Gênesis 1:3–25 sustenta que Deus traz ordem ao caos.","true","true:Verdadeiro | false:Falso","Deus organiza o caos em seis dias: primeiro os ambientes, depois os habitantes","Gênesis 1:3–25"
"genesis-1-11-pro-gen-02-dias-02","genesis-1-11","gen-02-dias","profundezas","tap","interpret","Em Gênesis 1:3–25, qual trecho sustenta a ideia de e deus viu que era bom?","Disse Deus: Haja luz; e houve luz.","a:Disse Deus: Haja luz; e houve luz. | b:Deus chamou à luz Dia; e às trevas, Noite. | c:E disse Deus: Produza a terra seres viventes","Deus organiza o caos em seis dias: primeiro os ambientes, depois os habitantes","Gênesis 1:3–25"
"genesis-1-11-pro-gen-02-dias-03","genesis-1-11","gen-02-dias","profundezas","choice","interpret","O que o refrão ""era bom"" comunica sobre a criação?","Cada etapa cumpre o propósito de Deus e reflete sua bondade","a:Cada etapa cumpre o propósito de Deus e reflete sua bondade | b:Apenas o ser humano possui valor moral | c:Bondade significa ausência total de limite ou perigo | d:Deus ainda não viu defeitos que corrigirá depois","Interpretar ""era bom"" como avaliação teológica da criação.","Gênesis 1:4–25"
"genesis-1-11-pro-gen-02-dias-04","genesis-1-11","gen-02-dias","profundezas","order","interpret","Qual sequência revela o sentido de Gênesis 1:3–25?","a → b → c","a:Disse Deus: Haja luz | b:e houve luz | c:Deus chamou à luz Dia","Ordenar o fluxo de Gênesis 1:3–25.","Gênesis 1:3–25"
"genesis-1-11-pro-gen-02-dias-05","genesis-1-11","gen-02-dias","profundezas","complete","interpret","Qual palavra completa Gênesis 1:3–25 (E Deus viu que era bom) com fidelidade ao tema?","Deus","a:Deus | b:Haja | c:houve","Completar com precisão o texto de Gênesis 1:3–25.","Gênesis 1:3–25"
"genesis-1-11-pro-gen-02-dias-06","genesis-1-11","gen-02-dias","profundezas","connect","interpret","Qual elo de sentido une o trecho de Gênesis 1:3–25 ao insight?","E Deus viu que era bom","a:E Deus viu que era bom | b:Haja | c:houve","Conectar Gênesis 1:3–25 ao restante da leitura.","Gênesis 1:3–25"
"genesis-1-11-sem-gen-03-imagem-01","genesis-1-11","gen-03-imagem","semente","true_false","observe","O trecho afirma: Também disse Deus: Façamos o homem à nossa imagem, conforme a nossa semelhança; e domine sobre os peixes do mar, sobre as…","true","true:Verdadeiro | false:Falso","O ser humano não é um acidente","Gênesis 1:26–27"
"genesis-1-11-sem-gen-03-imagem-02","genesis-1-11","gen-03-imagem","semente","tap","observe","Em Gênesis 1:26–27, toque o trecho que menciona imagem de deus?","à imagem de Deus o criou","a:à imagem de Deus o criou | b:imagem de Deus | c:Também disse Deus","O ser humano não é um acidente","Gênesis 1:26–27"
"genesis-1-11-sem-gen-03-imagem-03","genesis-1-11","gen-03-imagem","semente","choice","observe","O que Deus concede ao humano sobre a criação em 1:28?","Dominar peixes, aves e toda criatura vivente","a:Dominar peixes, aves e toda criatura vivente | b:Adorar somente o sol e a lua | c:Explorar a terra até esgotá-la | d:Viver isolado da criação","Identificar o mandato de domínio concedido ao humano.","Gênesis 1:28"
"genesis-1-11-sem-gen-03-imagem-04","genesis-1-11","gen-03-imagem","semente","order","observe","Qual a ordem dos fatos em Gênesis 1:26–27?","a → b → c","a:Também disse Deus: Façamos o homem à nossa | b:E criou Deus o homem à sua imagem | c:à imagem de Deus o criou","Ordenar o fluxo de Gênesis 1:26–27.","Gênesis 1:26–27"
"genesis-1-11-sem-gen-03-imagem-05","genesis-1-11","gen-03-imagem","semente","complete","observe","Qual palavra o texto usa em Gênesis 1:26–27 ao falar de Imagem de Deus?","imagem","a:imagem | b:Façamos | c:homem","Completar com precisão o texto de Gênesis 1:26–27.","Gênesis 1:26–27"
"genesis-1-11-sem-gen-03-imagem-06","genesis-1-11","gen-03-imagem","semente","connect","observe","Qual ideia une o trecho de Gênesis 1:26–27 ao insight da missão?","Imagem de Deus","a:Imagem de Deus | b:Façamos | c:homem","Conectar Gênesis 1:26–27 ao restante da leitura.","Gênesis 1:26–27"
"genesis-1-11-cam-gen-03-imagem-01","genesis-1-11","gen-03-imagem","caminhada","true_false","understand","Em Gênesis 1:26–27, o relato comunica que o ser humano não é um acidente.","true","true:Verdadeiro | false:Falso","O ser humano não é um acidente","Gênesis 1:26–27"
"genesis-1-11-cam-gen-03-imagem-02","genesis-1-11","gen-03-imagem","caminhada","tap","understand","Em Gênesis 1:26–27, qual trecho fala da imagem de deus?","à imagem de Deus o criou","a:à imagem de Deus o criou | b:imagem de Deus | c:Também disse Deus","O ser humano não é um acidente","Gênesis 1:26–27"
"genesis-1-11-cam-gen-03-imagem-03","genesis-1-11","gen-03-imagem","caminhada","choice","understand","O que implica criar o humano ""à imagem de Deus""?","Dignidade, vocação representativa e relação especial com o Criador","a:Dignidade, vocação representativa e relação especial com o Criador | b:Identidade física idêntica à aparência de Deus | c:Autonomia para viver sem responsabilidade moral | d:Superioridade que autoriza desprezo pelos outros seres","Compreender imagem como dignidade e representação.","Gênesis 1:26–27"
"genesis-1-11-cam-gen-03-imagem-04","genesis-1-11","gen-03-imagem","caminhada","order","understand","Como se encadeiam os eventos de Gênesis 1:26–27?","a → b → c","a:Também disse Deus: Façamos o homem à nossa | b:E criou Deus o homem à sua imagem | c:à imagem de Deus o criou","Ordenar o fluxo de Gênesis 1:26–27.","Gênesis 1:26–27"
"genesis-1-11-cam-gen-03-imagem-05","genesis-1-11","gen-03-imagem","caminhada","complete","understand","Qual palavra completa o sentido do trecho de Gênesis 1:26–27 sobre Imagem de Deus?","imagem","a:imagem | b:Façamos | c:homem","Completar com precisão o texto de Gênesis 1:26–27.","Gênesis 1:26–27"
"genesis-1-11-cam-gen-03-imagem-06","genesis-1-11","gen-03-imagem","caminhada","connect","understand","O que relaciona o trecho de Gênesis 1:26–27 ao insight da missão?","Imagem de Deus","a:Imagem de Deus | b:Façamos | c:homem","Conectar Gênesis 1:26–27 ao restante da leitura.","Gênesis 1:26–27"
"genesis-1-11-pro-gen-03-imagem-01","genesis-1-11","gen-03-imagem","profundezas","true_false","interpret","Gênesis 1:26–27 sustenta que a dignidade humana não é conquista: é presente — homem e mulher, sob Deus, com responsabilidade.","true","true:Verdadeiro | false:Falso","O ser humano não é um acidente","Gênesis 1:26–27"
"genesis-1-11-pro-gen-03-imagem-02","genesis-1-11","gen-03-imagem","profundezas","tap","interpret","Em Gênesis 1:26–27, qual trecho sustenta a ideia de imagem de deus?","à imagem de Deus o criou","a:à imagem de Deus o criou | b:imagem de Deus | c:Também disse Deus","O ser humano não é um acidente","Gênesis 1:26–27"
"genesis-1-11-pro-gen-03-imagem-03","genesis-1-11","gen-03-imagem","profundezas","choice","interpret","Como a imagem de Deus fundamenta a dignidade humana?","Valor humano deriva do criador, não de utilidade ou força","a:Valor humano deriva do criador, não de utilidade ou força | b:Dignidade depende de conquistas culturais ou tecnológicas | c:Somente reis possuem imagem; o povo comum não | d:Imagem se perde totalmente após qualquer erro moral","Articular imago Dei como base de dignidade humana.","Gênesis 1:26–27"
"genesis-1-11-pro-gen-03-imagem-04","genesis-1-11","gen-03-imagem","profundezas","order","interpret","Qual sequência revela o sentido de Gênesis 1:26–27?","a → b → c","a:Também disse Deus: Façamos o homem à nossa | b:E criou Deus o homem à sua imagem | c:à imagem de Deus o criou","Ordenar o fluxo de Gênesis 1:26–27.","Gênesis 1:26–27"
"genesis-1-11-pro-gen-03-imagem-05","genesis-1-11","gen-03-imagem","profundezas","complete","interpret","Qual palavra completa Gênesis 1:26–27 (Imagem de Deus) com fidelidade ao tema?","imagem","a:imagem | b:Façamos | c:homem","Completar com precisão o texto de Gênesis 1:26–27.","Gênesis 1:26–27"
"genesis-1-11-pro-gen-03-imagem-06","genesis-1-11","gen-03-imagem","profundezas","connect","interpret","Qual elo de sentido une o trecho de Gênesis 1:26–27 ao insight?","Imagem de Deus","a:Imagem de Deus | b:Façamos | c:homem","Conectar Gênesis 1:26–27 ao restante da leitura.","Gênesis 1:26–27"
"genesis-1-11-sem-gen-04-descanso-01","genesis-1-11","gen-04-descanso","semente","true_false","observe","O trecho afirma: Assim, pois, foram acabados os céus e a terra… E, havendo Deus terminado… descansou no sétimo dia… E abençoou Deus o dia…","true","true:Verdadeiro | false:Falso","O descanso de Deus não é fadiga — é completar, santificar e convidar a humanidade a um…","Gênesis 2:1–3"
"genesis-1-11-sem-gen-04-descanso-02","genesis-1-11","gen-04-descanso","semente","tap","observe","Em Gênesis 2:1–3, toque o trecho que menciona o descanso de deus?","E abençoou Deus o dia sétimo e o santificou.","a:E abençoou Deus o dia sétimo e o santificou. | b:Assim, pois, foram acabados os céus e a terra | c:E, havendo Deus terminado","O descanso de Deus não é fadiga — é completar, santificar e convidar a humanidade a um…","Gênesis 2:1–3"
"genesis-1-11-sem-gen-04-descanso-03","genesis-1-11","gen-04-descanso","semente","choice","observe","O que Deus fez no sétimo dia, segundo Gênesis 2:2?","Descansou de toda a obra que fizera","a:Descansou de toda a obra que fizera | b:Criou novamente luz e trevas | c:Expulsou Adão do jardim | d:Confundiu as línguas da humanidade","Identificar a ação divina no sétimo dia.","Gênesis 2:2"
"genesis-1-11-sem-gen-04-descanso-04","genesis-1-11","gen-04-descanso","semente","order","observe","Qual a ordem dos fatos em Gênesis 2:1–3?","a → b → c","a:Assim, pois, foram acabados os céus e a | b:terra… E, havendo Deus terminado… descansou no sétimo | c:dia… E abençoou Deus o dia sétimo e o santificou.","Ordenar o fluxo de Gênesis 2:1–3.","Gênesis 2:1–3"
"genesis-1-11-sem-gen-04-descanso-05","genesis-1-11","gen-04-descanso","semente","complete","observe","Qual palavra o texto usa em Gênesis 2:1–3 ao falar de Sábado?","Assim","a:Assim | b:pois | c:foram","Completar com precisão o texto de Gênesis 2:1–3.","Gênesis 2:1–3"
"genesis-1-11-sem-gen-04-descanso-06","genesis-1-11","gen-04-descanso","semente","connect","observe","Qual ideia une o trecho de Gênesis 2:1–3 ao insight da missão?","Sábado","a:Sábado | b:Assim | c:pois","Conectar Gênesis 2:1–3 ao restante da leitura.","Gênesis 2:1–3"
"genesis-1-11-cam-gen-04-descanso-01","genesis-1-11","gen-04-descanso","caminhada","true_false","understand","Em Gênesis 2:1–3, o relato comunica que o descanso de Deus não é fadiga — é completar, santificar e convidar a humanidade a um ritmo de…?","true","true:Verdadeiro | false:Falso","O descanso de Deus não é fadiga — é completar, santificar e convidar a humanidade a um…","Gênesis 2:1–3"
"genesis-1-11-cam-gen-04-descanso-02","genesis-1-11","gen-04-descanso","caminhada","tap","understand","Em Gênesis 2:1–3, qual trecho fala da o descanso de deus?","E abençoou Deus o dia sétimo e o santificou.","a:E abençoou Deus o dia sétimo e o santificou. | b:Assim, pois, foram acabados os céus e a terra | c:E, havendo Deus terminado","O descanso de Deus não é fadiga — é completar, santificar e convidar a humanidade a um…","Gênesis 2:1–3"
"genesis-1-11-cam-gen-04-descanso-03","genesis-1-11","gen-04-descanso","caminhada","choice","understand","Por que o descanso de Deus vem após ""tudo estar concluído""?","Porque repouso coroa uma obra perfeita, não uma interrupção por cansaço","a:Porque repouso coroa uma obra perfeita, não uma interrupção por cansaço | b:Porque Deus falhou em terminar no sexto dia | c:Porque o sétimo dia cancela o valor dos seis anteriores | d:Porque descanso significa abandono da criação","Compreender descanso divino como coroação, não fraqueza.","Gênesis 2:1–3"
"genesis-1-11-cam-gen-04-descanso-04","genesis-1-11","gen-04-descanso","caminhada","order","understand","Como se encadeiam os eventos de Gênesis 2:1–3?","a → b → c","a:Assim, pois, foram acabados os céus e a | b:terra… E, havendo Deus terminado… descansou no sétimo | c:dia… E abençoou Deus o dia sétimo e o santificou.","Ordenar o fluxo de Gênesis 2:1–3.","Gênesis 2:1–3"
"genesis-1-11-cam-gen-04-descanso-05","genesis-1-11","gen-04-descanso","caminhada","complete","understand","Qual palavra completa o sentido do trecho de Gênesis 2:1–3 sobre Sábado?","Assim","a:Assim | b:pois | c:foram","Completar com precisão o texto de Gênesis 2:1–3.","Gênesis 2:1–3"
"genesis-1-11-cam-gen-04-descanso-06","genesis-1-11","gen-04-descanso","caminhada","connect","understand","O que relaciona o trecho de Gênesis 2:1–3 ao insight da missão?","Sábado","a:Sábado | b:Assim | c:pois","Conectar Gênesis 2:1–3 ao restante da leitura.","Gênesis 2:1–3"
"genesis-1-11-pro-gen-04-descanso-01","genesis-1-11","gen-04-descanso","profundezas","true_false","interpret","Gênesis 2:1–3 sustenta que Deus completa o que começa.","true","true:Verdadeiro | false:Falso","O descanso de Deus não é fadiga — é completar, santificar e convidar a humanidade a um…","Gênesis 2:1–3"
"genesis-1-11-pro-gen-04-descanso-02","genesis-1-11","gen-04-descanso","profundezas","tap","interpret","Em Gênesis 2:1–3, qual trecho sustenta a ideia de o descanso de deus?","E abençoou Deus o dia sétimo e o santificou.","a:E abençoou Deus o dia sétimo e o santificou. | b:Assim, pois, foram acabados os céus e a terra | c:E, havendo Deus terminado","O descanso de Deus não é fadiga — é completar, santificar e convidar a humanidade a um…","Gênesis 2:1–3"
"genesis-1-11-pro-gen-04-descanso-03","genesis-1-11","gen-04-descanso","profundezas","choice","interpret","Como o Shabat aponta para a ordem boa da criação?","Convida a participar do ritmo em que trabalho e descanso coexistem sob Deus","a:Convida a participar do ritmo em que trabalho e descanso coexistem sob Deus | b:Ensina que criar é pecado e deve ser evitado | c:Prova que matéria e tempo são ilusões | d:Substitui completamente a necessidade de justiça social","Interpretar Shabat como participação na ordem criadora.","Gênesis 2:1–3"
"genesis-1-11-pro-gen-04-descanso-04","genesis-1-11","gen-04-descanso","profundezas","order","interpret","Qual sequência revela o sentido de Gênesis 2:1–3?","a → b → c","a:Assim, pois, foram acabados os céus e a | b:terra… E, havendo Deus terminado… descansou no sétimo | c:dia… E abençoou Deus o dia sétimo e o santificou.","Ordenar o fluxo de Gênesis 2:1–3.","Gênesis 2:1–3"
"genesis-1-11-pro-gen-04-descanso-05","genesis-1-11","gen-04-descanso","profundezas","complete","interpret","Qual palavra completa Gênesis 2:1–3 (Sábado) com fidelidade ao tema?","Assim","a:Assim | b:pois | c:foram","Completar com precisão o texto de Gênesis 2:1–3.","Gênesis 2:1–3"
"genesis-1-11-pro-gen-04-descanso-06","genesis-1-11","gen-04-descanso","profundezas","connect","interpret","Qual elo de sentido une o trecho de Gênesis 2:1–3 ao insight?","Sábado","a:Sábado | b:Assim | c:pois","Conectar Gênesis 2:1–3 ao restante da leitura.","Gênesis 2:1–3"
"genesis-1-11-sem-gen-boss-01-01","genesis-1-11","gen-boss-01","semente","true_false","observe","O sétimo dia foi santificado porque Deus descansou de toda a sua obra.","true","true:Verdadeiro | false:Falso","Revisar teologia do sétimo dia.","Gênesis 2:3"
"genesis-1-11-sem-gen-boss-01-02","genesis-1-11","gen-boss-01","semente","tap","observe","Em Gênesis 1:1–2:3, toque o trecho que menciona muito bom?","E viu Deus tudo quanto fizera, e eis que era muito bom.","a:E viu Deus tudo quanto fizera, e eis que era muito bom. | b:No princípio, Deus criou | c:E abençoou Deus o dia sétimo e o santificou.","Revise o fio da Criação: Deus fala, ordena, abençoa e descansa","Gênesis 1:1–2:3"
"genesis-1-11-sem-gen-boss-01-03","genesis-1-11","gen-boss-01","semente","choice","observe","Qual frase abre o relato da criação em Gênesis 1:1?","No princípio, criou Deus os céus e a terra","a:No princípio, criou Deus os céus e a terra | b:No princípio era o Verbo | c:Estas são as gerações dos céus | d:Havia um homem na terra de Uz","Revisar abertura do relato da criação.","Gênesis 1:1"
"genesis-1-11-sem-gen-boss-01-04","genesis-1-11","gen-boss-01","semente","order","observe","Qual a ordem dos fatos em Gênesis 1:1–2:3?","a → b → c","a:No princípio, Deus criou… E viu Deus tudo | b:quanto fizera, e eis que era muito bom. | c:E abençoou Deus o dia sétimo e o santificou.","Ordenar o fluxo de Gênesis 1:1–2:3.","Gênesis 1:1–2:3"
"genesis-1-11-sem-gen-boss-01-05","genesis-1-11","gen-boss-01","semente","complete","observe","Qual palavra o texto usa em Gênesis 1:1–2:3 ao falar de Muito bom?","muito","a:muito | b:princípio | c:criou","Completar com precisão o texto de Gênesis 1:1–2:3.","Gênesis 1:1–2:3"
"genesis-1-11-sem-gen-boss-01-06","genesis-1-11","gen-boss-01","semente","connect","observe","Qual ideia une o trecho de Gênesis 1:1–2:3 ao insight da missão?","Muito bom","a:Muito bom | b:princípio | c:criou","Conectar Gênesis 1:1–2:3 ao restante da leitura.","Gênesis 1:1–2:3"
"genesis-1-11-sem-gen-boss-01-07","genesis-1-11","gen-boss-01","semente","tap","observe","Revisão: em Gênesis 1:1–2:3, toque o trecho que menciona muito bom?","E viu Deus tudo quanto fizera, e eis que era muito bom.","a:E viu Deus tudo quanto fizera, e eis que era muito bom. | b:No princípio, Deus criou | c:E abençoou Deus o dia sétimo e o santificou.","Revise o fio da Criação: Deus fala, ordena, abençoa e descansa","Gênesis 1:1–2:3"
"genesis-1-11-sem-gen-boss-01-08","genesis-1-11","gen-boss-01","semente","order","observe","Revisão: qual a ordem dos fatos em Gênesis 1:1–2:3?","a → b → c","a:No princípio, Deus criou… E viu Deus tudo | b:quanto fizera, e eis que era muito bom. | c:E abençoou Deus o dia sétimo e o santificou.","Ordenar o fluxo de Gênesis 1:1–2:3.","Gênesis 1:1–2:3"
"genesis-1-11-cam-gen-boss-01-01","genesis-1-11","gen-boss-01","caminhada","true_false","understand","Em Gênesis 1:1–2:3, o relato comunica que revise o fio da Criação: Deus fala, ordena, abençoa e descansa.","true","true:Verdadeiro | false:Falso","Revise o fio da Criação: Deus fala, ordena, abençoa e descansa","Gênesis 1:1–2:3"
